Unnamed: 0,observed_on,license,image_url,place_guess,latitude,longitude,positional_accuracy,species_guess
14308,2025-07-20,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/539630655/medium.jpg,"Woodbine Beach, Toronto, ON, Canada",43.6619326195,-79.3052963793,15.0,Common Tern
4578,2025-02-01,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/485034634/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6252026268,-79.3305575789,122.0,Trumpeter Swan
17488,2025-09-17,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/568147608/medium.jpg,"Riverdale Park West, Toronto, ON, CA",43.6659793125,-79.3575004662,82.0,Great Egret
17609,2025-09-18,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/568983744/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Song Sparrow
17669,2025-09-13,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/569425319/medium.jpg,"Bayview Village, North York, ON, Canada",43.781243294,-79.3721404858,451.0,Bay-breasted Warbler
22116,2025-11-27,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/595343026/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Pine Siskin
15814,2025-08-02,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/554490252/medium.jpg,"The Kingsway, Etobicoke, ON, Canada",43.6562199273,-79.5015187091,4.0,Canada Goose
10708,2025-05-24,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/510103062/medium.jpg,"W Toronto Rail Path, Toronto, ON, CA",43.6641283333,-79.4567033333,3.0,Scarlet Tanager
15670,2025-08-16,CC-BY-NC,,"Toronto, CA-ON, CA",43.6781665762,-79.3733068183,4.0,Eastern Wood-Pewee
9631,2025-05-13,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/504619290/medium.jpg,"Nipigon Ave, Toronto, ON, CA",43.7983411017,-79.4159543432,219.0,Indigo Bunting
23074,2025-12-23,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/602114583/medium.jpg,"Ashbridges Bay Park, Toronto, ON, Canada",43.6565348601,-79.3097273813,8.0,Pied-billed Grebe
307,2025-01-08,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/462586232/medium.jpg,"Bridle Path-Sunnybrook-York Mills, Toronto, ON, Canada",43.7302735317,-79.3571613691,418.0,American Robin
16707,2025-08-31,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/562449258/medium.jpg,"New Toronto, Etobicoke, ON, Canada",43.5930451372,-79.5134856376,599.0,Black-crowned Night Heron
9827,2025-05-08,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/505542370/medium.jpg,"Ontario, CA",43.6120198224,-79.289776625,221.0,Eastern Screech-Owl
13169,2025-06-26,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/527300005/medium.jpg,"East York, ON M4B 1A6, Canada",43.69763306,-79.30280538,9.0,Mallard
8600,2025-05-03,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/500707968/medium.jpg,"L'Amoreaux North Park Tr, Toronto, ON, CA",43.8108563328,-79.3072004242,4.0,Red-winged Blackbird
5851,2025-04-22,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/489977443/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Northern Flicker
20482,2025-10-19,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/585814469/medium.jpg,"Rouge Beach, Toronto, ON, Canada",43.794364242,-79.117517329,40.0,Great Black-backed Gull
4589,2025-04-06,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/485145635/medium.jpg,"Great Lakes Waterfront Tr, Toronto, ON, CA",43.5910924137,-79.5163471856,32.0,Golden-crowned Kinglet
21908,2025-11-21,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/593735409/medium.jpg,"College St, Toronto, ON, CA",43.6586883333,-79.3999333333,9.0,European Starling
21019,2025-11-05,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/588724909/medium.jpg,"Rouge, Scarborough, ON, Canada",43.7926542073,-79.1206203822,15.0,Mallard
8296,2025-04-28,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/499705833/medium.jpeg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,Tree Swallow
13956,2025-07-09,,https://static.inaturalist.org/photos/535473946/medium.jpg,"1450 St Clair Ave W, Toronto, ON M6E 1C6, Canada",43.6771236,-79.4515897,186.0,House Sparrow
8338,2025-04-28,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/499741347/medium.jpeg,"James Gardens 99 Edenbridge Dr, Etobicoke, ON M9A 3G4, Canada",43.6716852,-79.5142997,182.0,Mallard
9165,2025-05-08,,https://static.inaturalist.org/photos/502142654/medium.jpeg,"Toronto, ON M6S 2X3, Canada",43.6421748727,-79.4630139694,226.0,Bald Eagle
14621,2025-07-27,,https://static.inaturalist.org/photos/543265840/medium.jpg,"Great Lakes Waterfront Tr, Toronto, ON, CA",43.6211385811,-79.4804997091,14.0,Great Blue Heron
11019,2025-05-14,,https://static.inaturalist.org/photos/511252156/medium.jpg,"High Park, Toronto, ON, CA",43.6466802236,-79.4596382804,157.0,Scarlet Tanager
23819,2025-04-20,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/610792702/medium.jpg,"New Toronto, Etobicoke, ON, Canada",43.5926672293,-79.5134356227,8.0,American Bittern
2896,2025-03-10,CC-BY-NC,https://static.inaturalist.org/photos/475604640/medium.jpeg,"South Riverdale, Toronto, ON, Canada",43.6279821117,-79.3252597958,513.0,Snowy Owl
11416,2025-06-01,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/514036291/medium.jpg,"East York, ON M4B 2M7, Canada",43.69927317,-79.30982865,5.0,Red-winged Blackbird
10459,2025-05-13,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/508793607/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,182.0,Wood Duck
10219,2025-05-17,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/507665142/medium.jpg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,Mallard
15984,2025-08-22,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/556921334/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Black-capped Chickadee
21576,2025-11-14,,https://static.inaturalist.org/photos/591366006/medium.jpg,"Corktown Common, Toronto, ON, CA",43.6540966413,-79.3519197887,45.0,Barred Owl
12676,2025-06-15,,https://static.inaturalist.org/photos/522391935/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6219187294,-79.3326923369,8.0,Baltimore Oriole
6309,2025-04-25,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/491714238/medium.jpg,"Bayview Village, North York, ON, Canada",43.7815812497,-79.3883737369,172.0,Ruby-crowned Kinglet
1598,2025-02-08,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/468961245/medium.jpg,"Toronto, ON, Canada",43.6448170893,-79.3205865525,15.0,Red-breasted Merganser
6723,2025-04-26,,https://static.inaturalist.org/photos/492615218/medium.jpg,"High Park, Toronto, ON, CA",43.6446633333,-79.4685133333,4.0,Wood Duck
12770,2025-03-21,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/523123391/medium.jpg,"Royal Ontario Museum, Toronto, ON, CA",43.6683533333,-79.3953866667,28.0,Feral Pigeon
10929,2025-05-26,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/510993993/medium.jpg,"High Park-Swansea, Toronto, ON, Canada",43.647812209,-79.4594271418,61.0,Veery
16680,2025-09-03,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/562514721/medium.jpg,"Bayview Village, Toronto, ON, Canada",43.777636267,-79.3704431046,61.0,Mallard
2024,2025-01-28,,https://static.inaturalist.org/photos/471260657/medium.jpeg,"Toronto, ON M5A 1A3, Canada",43.6467329385,-79.3307894468,164.0,Song Sparrow
19976,2025-10-20,CC-BY-NC,https://static.inaturalist.org/photos/582662379/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6326499446,-79.3236772925,15.0,American Coot
1845,2025-02-15,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/470410354/medium.jpeg,"73 Cardiff Rd, North York, ON M4P 2P4, Canada",43.713027,-79.3841394,179.0,House Sparrow
16779,2025-09-06,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/563142582/medium.jpg,"Toronto, ON M5J 2W2, Canada",43.6148313525,-79.3864472955,25.0,Belted Kingfisher
9378,2025-05-07,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/503158348/medium.jpeg,"Colonel  Samuel Smith Park, Toronto, ON, Canada",43.5906511232,-79.5131823425,683.0,Wood Duck
9997,2025-05-02,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/506443983/medium.jpg,"Bayview Village, North York, ON, Canada",43.7814777419,-79.3721095874,343.0,Nashville Warbler
15931,2025-08-22,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/556183943/medium.jpg,"Cherry St at Polson St, Toronto, ON M5A 4N6, Canada",43.6436114516,-79.3472984433,763.0,Spotted Sandpiper
10975,2025-05-26,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/511158926/medium.jpg,"Lake Ontario, Toronto, ON, CA",43.6162866667,-79.3718033333,4.0,Ring-billed Gull
4225,2025-01-08,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/482823136/medium.png,"Mimico-Queensway, Etobicoke, ON, Canada",43.6075369455,-79.4881551934,27.0,Northern Cardinal
16161,2025-08-26,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/558306847/medium.jpg,"Etobicoke, ON M8W 3P2, Canada",43.5881315655,-79.5449564606,176.0,Mallard
12728,2025-05-16,,https://static.inaturalist.org/photos/522714403/medium.jpg,"Birch Cliff, Scarborough, ON, Canada",43.6970809304,-79.2542792025,2.0,Blackburnian Warbler
17163,2025-09-12,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/566109105/medium.jpg,"Downsview Park, Toronto, ON, CA",43.741205465,-79.4815509663,6.0,Blackpoll Warbler
18350,2025-09-27,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/573048183/medium.jpg,"Toronto, ON, CA",43.6599466737,-79.3069614321,21.0,Greater Yellowlegs
8149,2025-04-30,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/499399833/medium.jpg,"Bayview Village, North York, ON, Canada",43.7813178772,-79.3882675693,219.0,Blue Jay
14161,2025-07-11,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/538199169/medium.jpg,"Lower Reesor Pond, Toronto, ON M1B 5W5, Canada",43.8280937,-79.1899396,175.0,American Black Duck
443,2025-01-11,,https://static.inaturalist.org/photos/463247619/medium.jpeg,"Mimico-Queensway, Etobicoke, ON, Canada",43.6076555556,-79.4883972222,1.0,Common Goldeneye
16519,2025-09-01,CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/561181016/medium.jpg,"South Riverdale, Toronto, ON, Canada",43.6246175797,-79.3278474603,608.0,Gadwall
17881,2025-09-21,,https://static.inaturalist.org/photos/570382254/medium.jpg,"Blockhouse Bay, Toronto, ON, CA",43.6191716667,-79.3734666667,3.0,Great Egret
